asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_market_cap_usd,source_notes
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,2000.0,,,Chateau Mouton Rothschild,,2021-04-01,27000.0,15800.0,,7.9,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,2003.0,,,Domaine de la Romanee-Conti La Tache,,2020-11-01,78000.0,63180.0,,4.05,,,15600.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,2005.0,,,Chateau Latour,,2020-09-01,9800.0,12350.0,,12.35,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,2006.0,,,Giacomo Conterno Barolo Riserva Monfortino,,2020-12-01,18500.0,15263.0,,8.25,,,1850.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2009.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2021-01-01,34000.0,36720.0,,5.4,,,6800.0,,trading,,,Currently trading. Submitted offering_date was 2021-01.
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,2009.0,,,Domaine Leroy Richebourg,,2021-08-01,107500.0,90300.0,,21.0,,,4300.0,,trading,,,Currently trading. Submitted offering_date was 2021-08.
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,2011.0,,,Domaine du Comte Liger-Belair Vosne-Romanee Aux Reignots,,2021-03-01,22000.0,17000.0,,8.5,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-03.
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2013.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2020-11-01,25500.0,39780.0,,7.8,,,5100.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,2014.0,,,Domaine de la Romanee-Conti Assortment,,2020-09-01,54000.0,52200.0,,52.2,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,2016.0,,,Chateau Petrus,,2020-09-01,46800.0,37800.0,,4.2,,,9000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,2016.0,,,Screaming Eagle,,2020-09-01,39000.0,31350.0,,31.35,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-59bond,59BOND,Ian Fleming - Goldfinger (Dedication Copy),books,rare books,,,,,,Ian Fleming - Goldfinger (Dedication Copy),,2021-02-01,82000.0,,,,,,10250.0,,trading,,,Currently trading. Submitted offering_date was 2021-02.
rally-59jfk,59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),books,rare books,,,,,,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),,2020-11-01,26000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-62bond,62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,,,,,,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),,2020-12-01,93000.0,,,,,,15500.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,Rolex,,1979.0,,,Coral Stella Dial Day-Date,,2020-10-01,69000.0,81420.0,,5.9,,,13800.0,,trading,,,Currently trading. Submitted offering_date was 2020-10.
rally-7orlex,70RLEX,1970 Rolex Watch,watches,rolex,Rolex,,1970.0,,,Watch,,2019-11-01,20000.0,19500.0,,19.5,,,1000.0,,sold,,,"Exited via buyout for $30,000 / $30.00 per share."
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,Rolex,Daytona,1993.0,,,Zenith,,2020-09-01,42000.0,36200.0,,18.1,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-aghowl,AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,,,,,,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),,2020-03-01,19000.0,,,,,,500.0,,trading,,,Currently trading. Submitted offering_date was 2020-03.
rally-alice,ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,,,,,,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),,2020-09-01,12000.0,,,,,,12000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-anmlfarm,ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,,,,,,George Orwell - Animal Farm (First Edition),,2020-11-01,10000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-aproak,APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,Audemars Piguet,Royal Oak,,,,,,2019-12-01,75000.0,40650.0,,40.65,,,1000.0,,sold,,,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately."
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,,,,Barosaurus Skeleton,,2025-09-01,12500000.0,,,,,,200000.0,,sold,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,Hermes,Birkin,,25,Lizard,Blue,,2019-11-01,58000.0,30900.0,,30.9,,,1000.0,,sold,,,Exited via buyout. Submitted offering_date was 2019-11.
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,Hermes,Birkin,,35,Crocodile,Bordeaux,,2020-02-01,52500.0,34000.0,,17.0,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-02.
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,Hermes,Birkin,,30,Ostrich,Tangerine,,2020-06-01,28000.0,25600.0,,25.6,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,,,,,,Ian Fleming - Casino Royale (First Edition),,2020-06-01,39000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,,,,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,,2022-01-01,80000.0,41000.0,,2.05,,,20000.0,,trading,,,Film-worn James Bond watch. Submitted offering_date was 2022-01.
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,,,,,,Ray Bradbury - Fahrenheit 451 (Signed First Edition),,2022-02-01,18000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-02.
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,,,,,,Grimms' Fairy Tales (Inscribed),,2021-05-01,135000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2021-05.
rally-catcher,CATCHER,J.D. Salinger - The Catcher in the Rye (First Edition),books,rare books,,,,,,J.D. Salinger - The Catcher in the Rye (First Edition),,2020-06-01,12500.0,,,,,,500.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-churchill,CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,,,,,,Winston Churchill - The Second World War (Signed First Edition),,2020-07-01,7500.0,,,,,,7500.0,,trading,,,Currently trading. Submitted offering_date was 2020-07.
rally-congress,CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,,,,,,Journals of the Continental Congress (17741775),,2021-07-01,120000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2021-07.
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,,,,Deaton Triceratops Skull,,2021-01-01,285000.0,270750.0,,23.75,,,11400.0,,exit_announced,,,"Pending buyout vote in progress; proposed $600,000 / $52.63 per share offer has not been approved or completed. Last secondary close before pending vote was $23.75/share ($270,750 market cap). Submitted offering_date was 2021-01."
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,,,,DiMaggio 2 Watch,,2020-11-01,21000.0,20000.0,,10.0,,,2000.0,,trading,,,Exact watch model not yet recorded. Submitted offering_date was 2020-11.
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,Rolex,,,,,Domino's Pizza Special Edition Rolex Air-King,,2021-01-01,11000.0,10200.0,,5.1,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-01.
rally-dune,DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,,,,,,Frank Herbert - Dune (Inscribed First Edition),,2020-12-01,13250.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,Hermes,,,,,Faubourg,,2020-09-01,150000.0,117400.0,,58.7,,,2000.0,,sold,,,"Exited via buyout for $175,000 / $87.50 per share."
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,Hermes,,,,,Faubourg 2,,2021-01-01,165000.0,165000.0,,15.0,,,11000.0,,sold,,,Exited via buyout. Submitted offering_date was 2021-01.
rally-frost,FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,,,,,,Robert Frost - A Boy's Will (First Edition),,2019-11-01,13500.0,,,,,,200.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,,,,,,The Great Gatsby (Signed First Edition),,2020-09-01,200000.0,,,,,,4000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,Rolex,,1983.0,,,GMT-Master Nipple Dial,,2020-06-01,28000.0,28500.0,,28.5,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
