asset_id,ticker,name,category,subcategory,issuer_cik,series_name,offering_date,offering_price,shares,market_cap_usd,last_price_usd,source_url,source_confidence,rarity_score,status,notes,exit_date,exit_price_per_share,exit_value_total,exit_type
rally-hermes-birkin-35,HERMES35,2012 Hermes Birkin 35 Handbag,handbags,hermes_birkin,,Series #HermesBirkin35,2021-05-14,10.0,14000,168000.0,12.0,manual_seed,0.7,0.86,active,Seed asset for MVP dashboard.,,,,
rally-chanel-flap,CHANELCF,Classic Chanel Double Flap Bag,handbags,chanel_flap,,Series #ChanelClassicFlap,2021-09-10,5.0,18000,99000.0,5.5,manual_seed,0.65,0.72,active,Manual values are illustrative and require verification.,,,,
rally-rolex-daytona,DAYTONA,Rolex Daytona Reference 116500LN,watches,rolex_daytona,,Series #RolexDaytona116500,2020-11-20,20.0,8000,188000.0,23.5,manual_seed,0.68,0.8,active,Watch seed for cross-category testing.,,,,
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,2021-04-01,13.5,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-04.,,,,
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,2020-11-01,5.0,15600,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-11.,,,,
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,2020-09-01,9.8,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-09.,,,,
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,2020-12-01,10.0,1850,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-12.,,,,
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2021-01-01,5.0,6800,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-01.,,,,
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,2021-08-01,25.0,4300,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-08.,,,,
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,2021-03-01,11.0,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-03.,,,,
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2020-11-01,5.0,5100,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-11.,,,,
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,2020-09-01,54.0,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-09.,,,,
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,2020-09-01,5.2,9000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-09.,,,,
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,2020-09-01,39.0,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-09.,,,,
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,,,2020-10-01,5.0,13800,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-10.,,,,
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,,,2020-09-01,21.0,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-09.,,,,
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,2025-09-01,62.5,200000,,,,1.0,0.5,sold,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.,,,,
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,,,2019-11-01,58.0,1000,,,,1.0,0.5,sold,Exited via buyout. Submitted offering_date was 2019-11.,2025-04-10,68.0,68000.0,buyout
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,,,2020-02-01,26.25,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-02.,,,,
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,,,2020-06-01,28.0,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-06.,,,,
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,2022-01-01,4.0,20000,,,,1.0,0.5,trading,Film-worn James Bond watch. Submitted offering_date was 2022-01.,,,,
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,2021-01-01,25.0,11400,,,,1.0,0.5,buyout,"Last secondary close: $23.75/share ($270,800 market cap). Buyout offer: $600,000 ($52.63/share). Submitted offering_date was 2021-01.",,,600000.0,buyout_offer
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,2020-11-01,10.5,2000,,,,1.0,0.5,trading,Exact watch model not yet recorded. Submitted offering_date was 2020-11.,,,,
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,,,2021-01-01,5.5,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-01.,,,,
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,,,2020-09-01,75.0,2000,,,,1.0,0.5,sold,Exited. Submitted offering_date was 2020-09.,,,,
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,,,2021-01-01,15.0,11000,,,,1.0,0.5,sold,Exited via buyout. Submitted offering_date was 2021-01.,2025-01-06,16.5,181500.0,buyout
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,,,2020-06-01,28.0,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-06.,,,,
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,,,2020-05-01,70.0,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-05.,,,,
rally-karuizawa,KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,,,2021-11-01,5.0,13000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-11.,,,,
